,failure_mode_tm,long_text_notification,clean_text,stop_words_removed,stemmed
513,Failed,26.07.2016 08:04:30 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  11C+ and 11C- phase modules need replacing  6 x hours 1 electrician 1 fitter  1 x 10869883 1 x 10869882     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,and phase modules need replacing hours electrician fitter,phase modules need replacing hours electrician fitter,phase modul need replac hour electrician fitter
514,Failed,26.07.2016 08:04:30 UTC Rebecca Benoit (COXRE) Phone +6149414948    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  11C+ and 11C- phase modules need replacing  6 x hours 1 electrician 1 fitter  1 x 10869883 1 x 10869882     *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,and phase modules need replacing hours electrician fitter,phase modules need replacing hours electrician fitter,phase modul need replac hour electrician fitter
519,worn,24.05.2016 14:27:07 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace badly worn RP2 Tips and pivot C/O incorrect alternator brushes and fit 2 SRB style brushes to clean up sliprings.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 3hr   *     *       24.05.2016 19:39:42 UTC Mitchell Thorning (THORMC9) C/O brushes and Rp tips ok. Ordered new tip kit for wshop 2 stock.,replace badly worn tips and pivot incorrect alternator brushes and fit srb style brushes to clean up electrician utc mitchell thorning brushes and rp tips ordered new tip kit for wshop,replace badly worn tips pivot incorrect alternator brushes fit srb style brushes clean electrician utc mitchell thorning brushes rp tips ordered new tip kit wshop,replac bad worn tip pivot incorrect altern brush fit srb style brush clean electrician utc mitchel thorn brush rp tip order new tip kit wshop
520,Worn,24.05.2016 14:27:07 UTC Mitchell Thorning (THORMC9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  Replace badly worn RP2 Tips and pivot C/O incorrect alternator brushes and fit 2 SRB style brushes to clean up sliprings.   *     Define work requirements; including known materials specialist labour special tools that are required:  1 x Electrician 3hr   *     *       24.05.2016 19:39:42 UTC Mitchell Thorning (THORMC9) C/O brushes and Rp tips ok. Ordered new tip kit for wshop 2 stock.,replace badly worn tips and pivot incorrect alternator brushes and fit srb style brushes to clean up electrician utc mitchell thorning brushes and rp tips ordered new tip kit for wshop,replace badly worn tips pivot incorrect alternator brushes fit srb style brushes clean electrician utc mitchell thorning brushes rp tips ordered new tip kit wshop,replac bad worn tip pivot incorrect altern brush fit srb style brush clean electrician utc mitchel thorn brush rp tip order new tip kit wshop
521,worn,26.05.2016 00:53:17 UTC Bradley Cunneen (CUNEB9)  Blower motor brushes are worn  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):     * sub notification raised     Define work requirements; including known materials specialist labour special tools that are required:  32x 1036692 brushes required.    *     *    ,sub notification raised brushes,sub notification raised brushes,sub notif rais brush
529,Failed,08.08.2016 01:13:42 UTC Andrew Delahunty (DELAAA9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):Report from operator that auto retard not working properly.     * Send fitter to check fault.     Define work requirements; including known materials specialist labour special tools that are required:     *     *       08.08.2016 19:46:11 UTC Chris Blomfield (BLOMC9) Replaced potentiometer. Job complete.,report from operator that auto retard not working send fitter to check utc chris blomfield replaced job,report operator auto retard working send fitter check utc chris blomfield replaced job,report oper auto retard work send fitter check utc chris blomfield replac job
530,Worn,14.06.2016 01:36:19 UTC Bradley Cunneen (CUNEB9)  Change Contactor Tips RD21  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):Contactor tips found to be worn during service.     * Notification raised     Define work requirements; including known materials specialist labour special tools that are required:  6x 10858502 (GE1836) 1x Sparky 2hrs    *     *    ,contactor tips found to be worn during notification raised sparky,contactor tips found worn notification raised sparky,contactor tip found worn notif rais sparki
531,Worn,14.06.2016 01:36:19 UTC Bradley Cunneen (CUNEB9)  Change Contactor Tips RD21  Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):Contactor tips found to be worn during service.     * Notification raised     Define work requirements; including known materials specialist labour special tools that are required:  6x 10858502 (GE1836) 1x Sparky 2hrs    *     *    ,contactor tips found to be worn during notification raised sparky,contactor tips found worn notification raised sparky,contactor tip found worn notif rais sparki
533,worn,22.06.2016 06:13:13 UTC Ronald Piggott (PIGGR9)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names):  replace brushes instal two srb brushes 2x 10366617 to clean right hand commutator on blower motor   *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,replace brushes instal two srb brushes to clean right hand commutator on blower motor,replace brushes instal two srb brushes clean right hand commutator blower motor,replac brush instal two srb brush clean right hand commut blower motor
538,Failed,14.08.2016 22:43:37 UTC Todd Woolston (WOOLT1)    Brief description of what occurred (e.g. basic sequence of events and impacts avoiding the use of personnel names): Extra parts for service    *     Define work requirements; including known materials specialist labour special tools that are required:     *     *    ,extra parts for service,extra parts service,extra part servic
